,Flight name,Departure_time,Arrival_time,Price,Source,Destination,Duration,No of stop,Date
0,Air Asia,20:45,01:45,7486,Bengaluru,Delhi,5h,1,2021-11-28
1,Air Asia,23:10,10:05,7486,Bengaluru,Delhi,10h 55m,1,2021-11-28
2,Air Asia,22:55,10:05,7486,Bengaluru,Delhi,11h 10m,1,2021-11-28
3,Go First,21:00,23:50,7487,Bengaluru,Delhi,2h 50m,Non,2021-11-28
4,SpiceJet,21:55,00:35,7488,Bengaluru,Delhi,2h 40m,Non,2021-11-28
5,IndiGo,22:10,01:05,7488,Bengaluru,Delhi,2h 55m,Non,2021-11-28
6,IndiGo,23:35,02:30,7488,Bengaluru,Delhi,2h 55m,Non,2021-11-28
7,IndiGo,20:10,23:10,7488,Bengaluru,Delhi,3h,Non,2021-11-28
8,Air Asia,22:10,01:00,7489,Bengaluru,Delhi,2h 50m,Non,2021-11-28
9,Air India,21:00,23:55,7489,Bengaluru,Delhi,2h 55m,Non,2021-11-28
10,Vistara,21:10,23:45,7490,Bengaluru,Delhi,2h 35m,Non,2021-11-28
11,Vistara,19:40,22:25,7490,Bengaluru,Delhi,2h 45m,Non,2021-11-28
12,Vistara,19:55,22:50,9904,Bengaluru,Delhi,26h 55m,1,2021-11-28
13,Go First,20:00,08:30,10638,Bengaluru,Delhi,12h 30m,1,2021-11-28
14,Vistara,19:55,19:55,11479,Bengaluru,Delhi,24h,1,2021-11-28
15,Vistara,19:55,15:10,12004,Bengaluru,Delhi,19h 15m,1,2021-11-28
16,Go First,22:00,08:10,12339,Bengaluru,Delhi,10h 10m,1,2021-11-28
17,Go First,22:00,10:10,12339,Bengaluru,Delhi,12h 10m,1,2021-11-28
18,Go First,22:00,12:10,12339,Bengaluru,Delhi,14h 10m,1,2021-11-28
19,Air India,22:00,21:10,12739,Bengaluru,Delhi,23h 10m,1,2021-11-28
20,Go First,20:00,02:00,13755,Bengaluru,Delhi,6h,1,2021-11-28
21,Go First,20:00,08:10,13755,Bengaluru,Delhi,12h 10m,1,2021-11-28
22,Go First,20:00,10:10,13755,Bengaluru,Delhi,14h 10m,1,2021-11-28
23,Vistara,19:55,00:55,13947,Bengaluru,Delhi,5h,1,2021-11-28
24,Vistara,21:40,08:05,13947,Bengaluru,Delhi,10h 25m,1,2021-11-28
25,Vistara,21:40,08:35,13947,Bengaluru,Delhi,10h 55m,1,2021-11-28
26,Vistara,21:40,09:40,13947,Bengaluru,Delhi,12h,1,2021-11-28
27,Vistara,19:55,08:05,13947,Bengaluru,Delhi,12h 10m,1,2021-11-28
28,Vistara,19:55,08:35,13947,Bengaluru,Delhi,12h 40m,1,2021-11-28
29,Vistara,21:40,11:00,13947,Bengaluru,Delhi,13h 20m,1,2021-11-28
30,Vistara,19:55,09:40,13947,Bengaluru,Delhi,13h 45m,1,2021-11-28
31,Vistara,19:55,11:00,13947,Bengaluru,Delhi,15h 5m,1,2021-11-28
32,Vistara,21:40,14:05,13947,Bengaluru,Delhi,16h 25m,1,2021-11-28
33,Vistara,19:55,14:05,13947,Bengaluru,Delhi,18h 10m,1,2021-11-28
34,Vistara,21:40,16:55,13947,Bengaluru,Delhi,19h 15m,1,2021-11-28
35,Vistara,21:40,18:05,13947,Bengaluru,Delhi,20h 25m,1,2021-11-28
36,Vistara,19:55,16:55,13947,Bengaluru,Delhi,21h,1,2021-11-28
37,Vistara,19:55,18:05,13947,Bengaluru,Delhi,22h 10m,1,2021-11-28
38,Vistara,21:40,20:40,13947,Bengaluru,Delhi,23h,1,2021-11-28
39,Vistara,21:40,21:55,13947,Bengaluru,Delhi,24h 15m,1,2021-11-28
40,Vistara,19:55,20:40,13947,Bengaluru,Delhi,24h 45m,1,2021-11-28
41,Vistara,21:40,23:00,13947,Bengaluru,Delhi,25h 20m,1,2021-11-28
42,Vistara,19:55,21:55,13947,Bengaluru,Delhi,26h,1,2021-11-28
43,Vistara,21:40,00:10,13947,Bengaluru,Delhi,26h 30m,1,2021-11-28
44,Vistara,19:55,23:00,13947,Bengaluru,Delhi,27h 5m,1,2021-11-28
45,Vistara,21:40,00:55,13947,Bengaluru,Delhi,27h 15m,1,2021-11-28
46,Vistara,21:40,14:30,14052,Bengaluru,Delhi,16h 50m,1,2021-11-28
47,Vistara,19:55,14:30,14052,Bengaluru,Delhi,18h 35m,1,2021-11-28
48,IndiGo,23:45,07:15,14366,Bengaluru,Delhi,7h 30m,1,2021-11-28
49,IndiGo,21:55,07:15,14366,Bengaluru,Delhi,9h 20m,1,2021-11-28
50,Vistara,21:40,12:40,14997,Bengaluru,Delhi,15h,1,2021-11-28
51,Vistara,19:55,12:40,14997,Bengaluru,Delhi,16h 45m,1,2021-11-28
52,Vistara,21:40,19:40,14997,Bengaluru,Delhi,22h,1,2021-11-28
53,Vistara,19:55,19:40,14997,Bengaluru,Delhi,23h 45m,1,2021-11-28
54,SpiceJet,10:20,19:45,7434,Bengaluru,Delhi,9h 25m,1,2021-12-05
55,SpiceJet,05:40,00:25,7434,Bengaluru,Delhi,18h 45m,1,2021-12-05
56,SpiceJet,10:20,09:00,7434,Bengaluru,Delhi,22h 40m,1,2021-12-05
57,Air Asia,14:10,20:00,7486,Bengaluru,Delhi,5h 50m,1,2021-12-05
58,Air Asia,11:45,17:50,7486,Bengaluru,Delhi,6h 5m,1,2021-12-05
59,Air Asia,05:40,12:00,7486,Bengaluru,Delhi,6h 20m,1,2021-12-05
